Date,App_Name,Category,Minutes_Used
2026-07-01,Instagram,Social Media,85
2026-07-01,YouTube,Entertainment,120
2026-07-01,VS Code,Coding,180
2026-07-01,WhatsApp,Communication,40
2026-07-02,Instagram,Social Media,75
2026-07-02,YouTube,Entertainment,100
2026-07-02,VS Code,Coding,210
2026-07-02,WhatsApp,Communication,35
2026-07-03,Instagram,Social Media,95
2026-07-03,Netflix,Entertainment,90
2026-07-03,VS Code,Coding,160
2026-07-03,Google Classroom,Education,60
2026-07-04,Instagram,Social Media,60
2026-07-04,YouTube,Entertainment,110
2026-07-04,VS Code,Coding,220
2026-07-04,WhatsApp,Communication,50
2026-07-05,Instagram,Social Media,120
2026-07-05,YouTube,Entertainment,140
2026-07-05,VS Code,Coding,130
2026-07-05,Spotify,Entertainment,45
2026-07-06,Instagram,Social Media,80
2026-07-06,YouTube,Entertainment,100
2026-07-06,VS Code,Coding,200
2026-07-06,Google Classroom,Education,70
2026-07-07,Instagram,Social Media,100
2026-07-07,Netflix,Entertainment,80
2026-07-07,VS Code,Coding,170
2026-07-07,WhatsApp,Communication,55
2026-07-08,Instagram,Social Media,90
2026-07-08,YouTube,Entertainment,130
2026-07-08,VS Code,Coding,190
2026-07-08,Google Classroom,Education,50
2026-07-09,Instagram,Social Media,110
2026-07-09,YouTube,Entertainment,120
2026-07-09,VS Code,Coding,160
2026-07-09,Spotify,Entertainment,60
2026-07-10,Instagram,Social Media,70
2026-07-10,Netflix,Entertainment,90
2026-07-10,VS Code,Coding,230
2026-07-10,WhatsApp,Communication,40
2026-07-11,Instagram,Social Media,85
2026-07-11,YouTube,Entertainment,100
2026-07-11,VS Code,Coding,210
2026-07-11,Google Classroom,Education,65
2026-07-12,Instagram,Social Media,130
2026-07-12,YouTube,Entertainment,150
2026-07-12,VS Code,Coding,120
2026-07-12,Spotify,Entertainment,50
2026-07-13,Instagram,Social Media,75
2026-07-13,Netflix,Entertainment,100
2026-07-13,VS Code,Coding,220
2026-07-13,WhatsApp,Communication,45
2026-07-14,Instagram,Social Media,95
2026-07-14,YouTube,Entertainment,110
2026-07-14,VS Code,Coding,200
2026-07-14,Google Classroom,Education,60
